,date,participant,Trial Type,Lever press lat.
00:00:00,11.28,414,1.0,0.0
14:00:00,11.28,414,2.0,28.04
1900-01-01 04:00:00,11.28,414,2.0,4.12
1900-01-01 18:00:00,11.28,414,2.0,0.0
1900-01-02 08:00:00,11.28,414,2.0,0.0
1900-01-02 22:00:00,11.28,414,2.0,43.36
1900-01-03 12:00:00,11.28,414,2.0,0.53
1900-01-04 02:00:00,11.28,414,2.0,0.0
1900-01-04 16:00:00,11.28,414,1.0,29.41
1900-01-05 06:00:00,11.28,414,2.0,3.28
1900-01-05 20:00:00,11.28,414,2.0,0.0
1900-01-06 10:00:00,11.28,414,2.0,21.34
1900-01-07 00:00:00,11.28,414,1.0,0.0
1900-01-07 14:00:00,11.28,414,2.0,24.07
1900-01-08 04:00:00,11.28,414,2.0,5.44
1900-01-08 18:00:00,11.28,414,1.0,6.5
1900-01-09 08:00:00,11.28,414,1.0,1.09
1900-01-09 22:00:00,11.28,414,2.0,9.12
1900-01-10 12:00:00,11.28,414,2.0,6.72
1900-01-11 02:00:00,11.28,414,2.0,8.59
1900-01-11 16:00:00,11.28,414,2.0,0.0
1900-01-12 06:00:00,11.28,414,2.0,22.15
1900-01-12 20:00:00,11.28,414,1.0,0.2
1900-01-13 10:00:00,11.28,414,1.0,0.0
1900-01-14 00:00:00,11.28,414,1.0,0.0
1900-01-14 14:00:00,11.28,414,1.0,42.79
1900-01-15 04:00:00,11.28,414,1.0,0.26
1900-01-15 18:00:00,11.28,414,2.0,8.36
1900-01-16 08:00:00,11.28,414,1.0,0.0
1900-01-16 22:00:00,11.28,414,1.0,21.96
1900-01-17 12:00:00,11.28,414,2.0,9.07
1900-01-18 02:00:00,11.28,414,1.0,0.0
1900-01-18 16:00:00,11.28,414,2.0,28.1
1900-01-19 06:00:00,11.28,414,2.0,0.0
1900-01-19 20:00:00,11.28,414,1.0,22.23
1900-01-20 10:00:00,11.28,414,2.0,0.0
1900-01-21 00:00:00,11.28,414,1.0,24.97
1900-01-21 14:00:00,11.28,414,1.0,0.85
1900-01-22 04:00:00,11.28,414,2.0,4.26
1900-01-22 18:00:00,11.28,414,1.0,0.0
1900-01-23 08:00:00,11.28,414,2.0,23.48
1900-01-23 22:00:00,11.28,414,1.0,0.0
1900-01-24 12:00:00,11.28,414,1.0,0.0
1900-01-25 02:00:00,11.28,414,1.0,48.05
1900-01-25 16:00:00,11.28,414,1.0,0.52
1900-01-26 06:00:00,11.28,414,1.0,5.62
1900-01-26 20:00:00,11.28,414,2.0,0.0
1900-01-27 10:00:00,11.28,414,1.0,23.43
1900-01-28 00:00:00,11.28,414,1.0,0.0
