,date,participant,Trial Type,Lever press lat.
00:00:00,11.27,415,2.0,0.09
14:00:00,11.27,415,1.0,0.0
1900-01-01 04:00:00,11.27,415,1.0,0.0
1900-01-01 18:00:00,11.27,415,2.0,44.44
1900-01-02 08:00:00,11.27,415,2.0,5.18
1900-01-02 22:00:00,11.27,415,2.0,3.1
1900-01-03 12:00:00,11.27,415,2.0,3.0
1900-01-04 02:00:00,11.27,415,1.0,0.0
1900-01-04 16:00:00,11.27,415,2.0,21.96
1900-01-05 06:00:00,11.27,415,2.0,5.49
1900-01-05 20:00:00,11.27,415,1.0,0.0
1900-01-06 10:00:00,11.27,415,1.0,0.0
1900-01-07 00:00:00,11.27,415,2.0,0.0
1900-01-07 14:00:00,11.27,415,2.0,67.38
1900-01-08 04:00:00,11.27,415,1.0,0.0
1900-01-08 18:00:00,11.27,415,2.0,24.24
1900-01-09 08:00:00,11.27,415,1.0,0.0
1900-01-09 22:00:00,11.27,415,1.0,0.0
1900-01-10 12:00:00,11.27,415,2.0,44.52
1900-01-11 02:00:00,11.27,415,2.0,1.72
1900-01-11 16:00:00,11.27,415,2.0,0.84
1900-01-12 06:00:00,11.27,415,1.0,0.0
1900-01-12 20:00:00,11.27,415,1.0,0.0
1900-01-13 10:00:00,11.27,415,1.0,0.0
1900-01-14 00:00:00,11.27,415,1.0,0.0
1900-01-14 14:00:00,11.27,415,2.0,94.31
1900-01-15 04:00:00,11.27,415,2.0,4.49
1900-01-15 18:00:00,11.27,415,1.0,0.0
1900-01-16 08:00:00,11.27,415,1.0,0.0
1900-01-16 22:00:00,11.27,415,1.0,0.0
1900-01-17 12:00:00,11.27,415,2.0,67.19
1900-01-18 02:00:00,11.27,415,1.0,0.0
1900-01-18 16:00:00,11.27,415,1.0,0.0
1900-01-19 06:00:00,11.27,415,1.0,0.0
1900-01-19 20:00:00,11.27,415,2.0,69.51
1900-01-20 10:00:00,11.27,415,2.0,0.0
1900-01-21 00:00:00,11.27,415,2.0,0.0
1900-01-21 14:00:00,11.27,415,2.0,0.0
1900-01-22 04:00:00,11.27,415,2.0,0.0
1900-01-22 18:00:00,11.27,415,2.0,0.0
1900-01-23 08:00:00,11.27,415,1.0,0.0
1900-01-23 22:00:00,11.27,415,1.0,0.0
1900-01-24 12:00:00,11.27,415,2.0,0.0
1900-01-25 02:00:00,11.27,415,2.0,0.0
1900-01-25 16:00:00,11.27,415,1.0,0.0
1900-01-26 06:00:00,11.27,415,1.0,0.0
1900-01-26 20:00:00,11.27,415,1.0,0.0
1900-01-27 10:00:00,11.27,415,2.0,0.0
1900-01-28 00:00:00,11.27,415,1.0,0.0
