,date,participant,Trial Type,Lever press lat.
00:00:00,11.17,172,1.0,0.0
14:00:00,11.17,172,2.0,47.38
1900-01-01 04:00:00,11.17,172,2.0,0.84
1900-01-01 18:00:00,11.17,172,2.0,2.43
1900-01-02 08:00:00,11.17,172,1.0,23.87
1900-01-02 22:00:00,11.17,172,1.0,23.97
1900-01-03 12:00:00,11.17,172,1.0,0.0
1900-01-04 02:00:00,11.17,172,1.0,44.42
1900-01-04 16:00:00,11.17,172,2.0,5.62
1900-01-05 06:00:00,11.17,172,1.0,0.0
1900-01-05 20:00:00,11.17,172,1.0,52.48
1900-01-06 10:00:00,11.17,172,1.0,2.4
1900-01-07 00:00:00,11.17,172,2.0,17.12
1900-01-07 14:00:00,11.17,172,2.0,3.68
1900-01-08 04:00:00,11.17,172,1.0,24.18
1900-01-08 18:00:00,11.17,172,2.0,5.77
1900-01-09 08:00:00,11.17,172,2.0,5.9
1900-01-09 22:00:00,11.17,172,1.0,3.53
1900-01-10 12:00:00,11.17,172,2.0,5.49
1900-01-11 02:00:00,11.17,172,2.0,11.91
1900-01-11 16:00:00,11.17,172,2.0,4.19
1900-01-12 06:00:00,11.17,172,1.0,6.09
1900-01-12 20:00:00,11.17,172,1.0,8.01
1900-01-13 10:00:00,11.17,172,2.0,2.0
1900-01-14 00:00:00,11.17,172,2.0,7.56
1900-01-14 14:00:00,11.17,172,1.0,3.82
1900-01-15 04:00:00,11.17,172,1.0,14.47
1900-01-15 18:00:00,11.17,172,1.0,3.08
1900-01-16 08:00:00,11.17,172,2.0,10.12
1900-01-16 22:00:00,11.17,172,2.0,7.08
1900-01-17 12:00:00,11.17,172,2.0,0.9
1900-01-18 02:00:00,11.17,172,2.0,6.76
1900-01-18 16:00:00,11.17,172,2.0,0.08
1900-01-19 06:00:00,11.17,172,1.0,12.89
1900-01-19 20:00:00,11.17,172,1.0,0.0
1900-01-20 10:00:00,11.17,172,2.0,43.28
1900-01-21 00:00:00,11.17,172,2.0,14.75
1900-01-21 14:00:00,11.17,172,1.0,5.61
1900-01-22 04:00:00,11.17,172,1.0,6.66
1900-01-22 18:00:00,11.17,172,2.0,0.0
1900-01-23 08:00:00,11.17,172,2.0,45.73
1900-01-23 22:00:00,11.17,172,1.0,4.3
1900-01-24 12:00:00,11.17,172,2.0,13.66
1900-01-25 02:00:00,11.17,172,2.0,0.0
1900-01-25 16:00:00,11.17,172,1.0,0.0
1900-01-26 06:00:00,11.17,172,1.0,90.17
1900-01-26 20:00:00,11.17,172,1.0,0.0
1900-01-27 10:00:00,11.17,172,2.0,67.36
1900-01-28 00:00:00,11.17,172,1.0,6.7
1900-01-28 14:00:00,11.17,172,1.0,12.76
