subj_idx,date,trialnum,stim,response,rt
172,2017-11-14,29,1,1,2.25
172,2017-11-14,30,2,0,13.53
172,2017-11-14,31,2,1,0.03
172,2017-11-14,32,2,1,4.54
172,2017-11-14,33,2,1,14.93
172,2017-11-14,35,1,0,77
172,2017-11-14,36,2,1,108.05
172,2017-11-14,37,2,1,0.67
172,2017-11-14,38,1,1,1.95
172,2017-11-14,39,2,0,81.71
172,2017-11-14,40,1,1,15.47
172,2017-11-14,41,1,1,0.4
172,2017-11-14,44,1,1,18
172,2017-11-14,45,1,1,3.9
172,2017-11-14,46,1,0,27.18
172,2017-11-14,50,1,1,27.1
172,2017-11-15,1,2,1,9.26
172,2017-11-15,2,2,1,5.42
172,2017-11-15,3,2,1,0.74
172,2017-11-15,4,1,1,10.92
172,2017-11-15,5,2,1,12.44
172,2017-11-15,6,2,1,7.13
172,2017-11-15,7,2,0,4.25
172,2017-11-15,8,2,1,6.91
172,2017-11-15,9,2,1,8.58
172,2017-11-15,10,1,1,0.36
172,2017-11-15,11,2,0,29.93
172,2017-11-15,12,2,1,22.94
172,2017-11-15,13,1,1,5.67
172,2017-11-15,14,1,1,12.14
172,2017-11-15,15,2,1,8.46
172,2017-11-15,16,2,1,0.12
172,2017-11-15,17,2,0,8.79
172,2017-11-15,18,1,1,6.27
172,2017-11-15,19,1,1,8.89
172,2017-11-15,20,2,0,9.95
172,2017-11-15,21,1,1,19.8
172,2017-11-15,22,1,0,23.5
172,2017-11-15,24,2,1,65.24
172,2017-11-15,25,1,0,6.56
172,2017-11-15,26,1,1,9.81
172,2017-11-15,27,2,1,7.39
172,2017-11-15,28,1,0,15.51
172,2017-11-15,29,1,1,1.79
172,2017-11-15,30,2,1,18.28
172,2017-11-15,31,2,1,14.94
172,2017-11-15,32,2,1,4.71
172,2017-11-15,33,2,1,28.03
172,2017-11-15,34,2,1,7.93
172,2017-11-15,35,1,1,27.09
172,2017-11-15,36,1,1,11.39
172,2017-11-15,37,1,1,23.11
172,2017-11-15,38,1,1,9.99
172,2017-11-15,39,2,0,18.43
172,2017-11-15,40,1,1,10.12
172,2017-11-15,41,1,1,3.63
172,2017-11-15,42,2,0,26.44
172,2017-11-15,43,2,1,24.72
172,2017-11-15,49,1,1,51.02
172,2017-11-15,50,1,1,8.44
172,2017-11-16,1,2,1,4.78
172,2017-11-16,2,1,0,21.56
172,2017-11-16,3,1,0,28.97
172,2017-11-16,5,1,0,64.7
172,2017-11-16,6,2,1,181.27
172,2017-11-16,7,1,0,26.13
172,2017-11-16,8,1,1,21.13
172,2017-11-16,9,1,1,16.66
172,2017-11-16,10,1,1,8.71
172,2017-11-16,11,2,1,4.07
172,2017-11-16,12,1,1,2.04
172,2017-11-16,14,1,1,41.47
172,2017-11-16,15,2,1,6.5
172,2017-11-16,16,1,1,8.59
172,2017-11-16,17,2,1,11.8
172,2017-11-16,18,2,1,3.15
172,2017-11-16,19,2,1,4.16
172,2017-11-16,20,1,0,242.36
172,2017-11-16,21,2,1,3.23
172,2017-11-16,22,1,1,0.58
172,2017-11-16,23,1,1,25.75
172,2017-11-16,24,1,1,5.84
172,2017-11-16,25,1,1,9.24
172,2017-11-16,26,2,0,29.53
172,2017-11-16,28,1,1,48.69
172,2017-11-16,29,2,1,9.55
172,2017-11-16,30,1,0,18.16
172,2017-11-16,31,1,1,13.38
172,2017-11-16,32,1,1,23.97
172,2017-11-16,33,2,1,6.04
172,2017-11-16,34,1,1,22.74
172,2017-11-16,35,2,1,12.38
172,2017-11-16,36,1,1,20.01
172,2017-11-16,37,2,0,5.96
172,2017-11-16,40,2,1,102.16
172,2017-11-16,41,2,1,13.75
172,2017-11-16,42,1,1,16.79
172,2017-11-16,43,2,1,7.65
172,2017-11-16,44,2,1,3.96
172,2017-11-16,46,1,1,44.83
172,2017-11-16,47,2,0,7.71
172,2017-11-16,49,1,1,48.1
172,2017-11-17,1,1,0,4.85
172,2017-11-17,2,2,1,47.38
172,2017-11-17,3,2,1,0.84
172,2017-11-17,4,2,1,2.43
172,2017-11-17,5,1,0,23.87
172,2017-11-17,6,1,1,5.93
172,2017-11-17,7,1,0,22.16
172,2017-11-17,8,1,1,44.42
172,2017-11-17,9,2,1,5.62
172,2017-11-17,10,1,0,44.43
172,2017-11-17,11,1,1,52.48
172,2017-11-17,12,1,1,2.4
172,2017-11-17,13,2,1,17.12
172,2017-11-17,14,2,1,3.68
172,2017-11-17,15,1,0,24.18
172,2017-11-17,16,2,1,5.77
172,2017-11-17,17,2,1,5.9
172,2017-11-17,18,1,0,3.53
172,2017-11-17,19,2,1,5.49
172,2017-11-17,20,2,1,11.91
