subj_idx,date,trialnum,stim,response,rt
282,2019-02-07,14.0,2.0,1,36.0
282,2019-02-07,18.0,2.0,0,159.99
282,2019-02-07,20.0,2.0,0,29.78
282,2019-02-07,24.0,1.0,0,81.91
282,2019-02-07,26.0,1.0,1,293.62
282,2019-02-07,37.0,1.0,0,305.86
282,2019-02-07,38.0,1.0,0,8.53
282,2019-02-07,50.0,2.0,0,302.06
283,2019-02-05,1.0,1.0,0,4.77
283,2019-02-05,2.0,2.0,1,33.79
283,2019-02-05,3.0,1.0,0,27.03
283,2019-02-05,4.0,1.0,1,30.68
283,2019-02-05,12.0,1.0,1,191.94
283,2019-02-05,13.0,1.0,0,12.07
283,2019-02-05,28.0,1.0,1,367.24
283,2019-02-05,29.0,2.0,0,385.88
283,2019-02-05,44.0,2.0,1,395.31
283,2019-02-05,48.0,1.0,1,85.43
283,2019-02-06,1.0,2.0,1,5.3
283,2019-02-06,9.0,2.0,1,196.8
283,2019-02-06,10.0,2.0,1,0.83
283,2019-02-06,17.0,2.0,1,157.41
283,2019-02-06,18.0,1.0,0,404.92
283,2019-02-06,19.0,1.0,1,32.76
283,2019-02-06,20.0,2.0,0,20.19
283,2019-02-06,26.0,1.0,1,171.5
283,2019-02-06,30.0,2.0,1,83.56
283,2019-02-06,31.0,2.0,0,263.46
283,2019-02-06,41.0,1.0,0,236.59
283,2019-02-06,44.0,1.0,0,66.66
283,2019-02-07,2.0,1.0,1,26.82
283,2019-02-07,6.0,1.0,1,80.38
283,2019-02-07,11.0,1.0,1,108.35
283,2019-02-07,14.0,2.0,1,59.47
283,2019-02-07,15.0,2.0,1,1.63
283,2019-02-07,24.0,1.0,0,541.68
283,2019-02-07,32.0,2.0,0,185.12
283,2019-02-07,40.0,1.0,1,629.93
283,2019-02-07,46.0,2.0,1,132.11
284,2019-02-05,1.0,2.0,0,3.8
284,2019-02-05,5.0,1.0,0,92.5
284,2019-02-05,7.0,2.0,0,28.04
284,2019-02-05,8.0,2.0,1,194.58
284,2019-02-05,9.0,1.0,0,30.08
284,2019-02-05,13.0,1.0,1,109.3
284,2019-02-05,22.0,1.0,0,306.28
284,2019-02-05,26.0,1.0,1,319.31
284,2019-02-05,44.0,2.0,0,543.67
284,2019-02-05,48.0,1.0,0,91.44
284,2019-02-06,13.0,1.0,0,323.6
284,2019-02-06,14.0,1.0,0,1.92
284,2019-02-06,15.0,2.0,1,365.84
284,2019-02-06,18.0,1.0,1,63.14
284,2019-02-06,23.0,2.0,0,200.9
284,2019-02-06,30.0,1.0,1,301.09
284,2019-02-06,35.0,2.0,1,105.67
284,2019-02-06,36.0,1.0,0,301.47
284,2019-02-06,44.0,1.0,1,216.33
284,2019-02-06,47.0,1.0,1,62.36
284,2019-02-07,3.0,1.0,1,56.0
284,2019-02-07,4.0,1.0,0,76.92
284,2019-02-07,7.0,2.0,0,61.49
284,2019-02-07,11.0,2.0,0,82.84
284,2019-02-07,14.0,1.0,1,271.72
284,2019-02-07,20.0,1.0,1,142.7
284,2019-02-07,21.0,1.0,1,0.03
284,2019-02-07,25.0,2.0,1,83.51
284,2019-02-07,32.0,2.0,0,491.93
284,2019-02-07,37.0,1.0,0,110.14
284,2019-02-07,40.0,1.0,1,379.09
284,2019-02-07,47.0,1.0,0,243.19
284,2019-02-07,48.0,2.0,0,8.39
284,2019-02-07,50.0,1.0,0,30.92
285,2019-02-05,7.0,1.0,1,158.88
285,2019-02-05,10.0,1.0,0,225.14
285,2019-02-05,11.0,1.0,1,84.33
285,2019-02-05,20.0,1.0,1,210.83
285,2019-02-05,26.0,2.0,1,132.62
285,2019-02-05,36.0,1.0,1,243.39
285,2019-02-06,7.0,1.0,0,166.92
285,2019-02-06,8.0,2.0,1,191.86
285,2019-02-06,9.0,2.0,1,1.84
285,2019-02-06,16.0,1.0,1,157.17
285,2019-02-06,27.0,1.0,0,465.77
285,2019-02-06,28.0,1.0,0,3.83
285,2019-02-06,34.0,1.0,1,448.18
285,2019-02-06,47.0,1.0,0,467.87
285,2019-02-07,1.0,1.0,0,13.32
285,2019-02-07,2.0,1.0,0,10.92
285,2019-02-07,3.0,2.0,0,9.04
285,2019-02-07,4.0,1.0,0,4.42
285,2019-02-07,5.0,2.0,1,114.49
285,2019-02-07,10.0,1.0,0,136.03
285,2019-02-07,16.0,2.0,0,131.23
285,2019-02-07,25.0,1.0,1,496.67
285,2019-02-07,29.0,1.0,0,303.03
285,2019-02-07,34.0,2.0,0,113.36
285,2019-02-07,35.0,2.0,1,237.82
285,2019-02-07,47.0,1.0,1,293.03
286,2019-02-05,2.0,1.0,0,35.21
286,2019-02-05,4.0,2.0,0,37.72
286,2019-02-05,7.0,1.0,1,166.11
286,2019-02-05,12.0,1.0,0,188.92
286,2019-02-05,27.0,1.0,1,501.92
286,2019-02-05,37.0,2.0,0,624.9
286,2019-02-05,46.0,1.0,1,481.96
